,x,y,u
448,0.44,0.04,0.25720875142051564
449,0.45,0.04,0.25356307664478434
450,0.46,0.04,0.24950489319277394
451,0.47,0.04,0.2450472438611109
452,0.48,0.04,0.24020418222615758
453,0.49,0.04,0.23499074561088146
454,0.5,0.04,0.2294229248473884
455,0.51,0.04,0.2235176308758902
456,0.52,0.04,0.21729265825830862
457,0.53,0.04,0.21076664572379905
458,0.54,0.04,0.20395903390329306
459,0.55,0.04,0.19689002044977008
460,0.56,0.04,0.18958051277948978
461,0.57,0.04,0.182052078706043
462,0.58,0.04,0.17432689527314935
463,0.59,0.04,0.16642769612316463
464,0.6,0.04,0.1583777177659632
465,0.61,0.04,0.1502006451372005
466,0.62,0.04,0.14192055685611363
467,0.63,0.04,0.1335618706114254
468,0.64,0.04,0.12514928912025733
469,0.65,0.04,0.1167077471201404
470,0.66,0.04,0.10826235986938494
471,0.67,0.04,0.0998383736475902
472,0.68,0.04,0.0914611187675302
473,0.69,0.04,0.08315596563385785
474,0.7,0.04,0.07494828441509546
475,0.71,0.04,0.0668634089355902
476,0.72,0.04,0.05892660544620267
477,0.73,0.04,0.05116304699960171
478,0.74,0.04,0.0435977942417678
479,0.75,0.04,0.036255783539882104
480,0.76,0.04,0.02916182350307362
481,0.77,0.04,0.02234060112206893
482,0.78,0.04,0.01581669896274072
483,0.79,0.04,0.00961462510309469
484,0.8,0.04,0.003758857808630402
485,0.81,0.04,-0.0017260927007141276
486,0.82,0.04,-0.006815602633526851
487,0.83,0.04,-0.01148482997193275
488,0.84,0.04,-0.015708583195508736
489,0.85,0.04,-0.019461159568319463
490,0.86,0.04,-0.022716149371129556
491,0.87,0.04,-0.025446203631420992
492,0.88,0.04,-0.027622766130336356
493,0.89,0.04,-0.029215777900410616
494,0.9,0.04,-0.030193378340132186
495,0.91,0.04,-0.030521659911431027
496,0.92,0.04,-0.030164599767049036
497,0.93,0.04,-0.029084423648306077
498,0.94,0.04,-0.02724291440016893
499,0.95,0.04,-0.024604659750261954
500,0.96,0.04,-0.021144074906198615
501,0.97,0.04,-0.01685927738840565
502,0.98,0.04,-0.011796950848746698
503,0.99,0.04,-0.006090399625822168
504,1.0,0.04,0.0
505,0.0,0.05,0.0
506,0.01,0.05,0.01134664419078144
507,0.02,0.05,0.022671784636222762
508,0.03,0.05,0.03395396329971552
509,0.04,0.05,0.04517181345865264
510,0.05,0.05,0.05630410510417634
511,0.06,0.05,0.06732979003396819
512,0.07,0.05,0.07822804653866311
513,0.08,0.05,0.08897832358493034
514,0.09,0.05,0.09956038440131204
515,0.1,0.05,0.10995434937651972
516,0.11,0.05,0.1201407381840334
517,0.12,0.05,0.1301005110514922
518,0.13,0.05,0.1398151090984659
519,0.14,0.05,0.14926649367169734
520,0.15,0.05,0.15843718461275008
521,0.16,0.05,0.1673102973990997
522,0.17,0.05,0.17586957910599052
523,0.18,0.05,0.18409944314273774
524,0.19,0.05,0.19198500272346972
525,0.2,0.05,0.199512103038447
526,0.21,0.05,0.2066673520979262
527,0.22,0.05,0.2134381502258779
528,0.23,0.05,0.21981271818557396
529,0.24,0.05,0.22578012392293267
530,0.25,0.05,0.231330307916371
531,0.26,0.05,0.2364541071235825
532,0.27,0.05,0.2411432775159603
533,0.28,0.05,0.24539051519015853
534,0.29,0.05,0.24918947604340794
535,0.3,0.05,0.2525347939945788
536,0.31,0.05,0.25542209772658575
537,0.32,0.05,0.2578480259175766
538,0.33,0.05,0.25981024091854804
539,0.34,0.05,0.261307440823785
540,0.35,0.05,0.26233936986810524
541,0.36,0.05,0.26290682707170937
542,0.37,0.05,0.26301167303996126
543,0.38,0.05,0.26265683481225427
544,0.39,0.05,0.2618463086418889
545,0.4,0.05,0.2605851605783355
546,0.41,0.05,0.25887952471510267
547,0.42,0.05,0.25673659896143164
548,0.43,0.05,0.2541646381948745
549,0.44,0.05,0.25117294465510237
550,0.45,0.05,0.2477718554475112
551,0.46,0.05,0.2439727270386796
552,0.47,0.05,0.23978791664460963
553,0.48,0.05,0.2352307604368716
554,0.49,0.05,0.230315548520974
555,0.5,0.05,0.2250574966749707
556,0.51,0.05,0.21947271487376885
557,0.52,0.05,0.21357817266492626
558,0.53,0.05,0.2073916615038963
559,0.54,0.05,0.2009317541995988
560,0.55,0.05,0.19421776166374685
561,0.56,0.05,0.18726968719846776
562,0.57,0.05,0.18010817859545478
563,0.58,0.05,0.17275447835534777
564,0.59,0.05,0.1652303723676613
565,0.6,0.05,0.1575581374189516
566,0.61,0.05,0.14976048791992472
567,0.62,0.05,0.14186052226094803
568,0.63,0.05,0.1338816692203201
569,0.64,0.05,0.12584763486129896
570,0.65,0.05,0.11778235036311525
571,0.66,0.05,0.10970992123902978
572,0.67,0.05,0.10165457840210192
573,0.68,0.05,0.09364063154801475
574,0.69,0.05,0.08569242533543701
